#,单词,音标,解释,笔记
1019,"saved","","- adj. 已保存的；获救的
- v. 救助；保护（save的过去分词）",
1020,"save","英:/seɪv/ 美:/seɪv/","- vt. 拯救, 挽救
- vt. & vi. 储蓄, 贮存
- 节省
- n. (足球等)阻碍对方得分的动作, 求救
- prep.&conj. 除了

时 态:  
saved, saving, saves 

形容词:  
savable  or

名 词:  
saver",
1021,"sausage","英:/ˈsɒsɪdʒ/ 美:/ˈsɔːsɪdʒ/","n. 香肠；腊肠；装香肠的碎肉",
1022,"sauna","英:/'sɔːnə/ 美:/'sɔnə/","- n. 桑拿浴
- vi. 洗桑拿浴",
1023,"saucepan","英:/'sɔːspən/ 美:/'sɔspæn/","n. 深平底锅",
1024,"sauce","英:/sɔːs/ 美:/sɔːs/","- n. 调味汁, 酱汁
- 无礼的话, 顶撞的话
- vt. 加酱汁于；给...调味

时 态:  
sauced, saucing, sauces",
1025,"satisfy","英:/'sætɪsfaɪ/ 美:/'sætɪsfaɪ/","- vt. & vi. 使满意；满足
- vt. 使确信
- 符合，达到(要求、规定、标准等)

时 态:  
satisfied，satisfying，satisfies",
1026,"satisfied","英:/ˈsætɪsˌfaɪd/ 美:/'sætɪs'faɪd/","adj. 满意的;满足的",
1027,"satisfactory","英:/ˌsætɪsˈfæktəri/ 美:/ˌsætɪsˈfæktəri/","adj. 令人满意的, 符合要求的

副 词:  
satisfactorily",
1028,"satisfaction","英:/ˌsætɪsˈfækʃn/ 美:/ˌsætɪsˈfækʃn/","- n. 满意, 满足, 实现
- 赔偿物, 补偿",
1029,"satellite","英:/ˈsætəlaɪt/ 美:/ˈsætəlaɪt/","- n. 卫星
- 人造卫星
- 卫星国, 附庸国, 卫星都市",
1030,"sat","英:/sæt/ 美:/sæt/","v. 坐（sit的过去式，过去分词）

Satabbr. Saturday 星期六",
1031,"sandy","英:/'sændɪ/ 美:/'sændi/","adj. 含沙的；多沙的；沙地的

Sandyn. 桑迪（男子名）

比较级:  
sandier, sandiest 

名 词:  
sandiness",
1032,"sandwich","英:/ˈsænwitʃ,-dʒ/ 美:/ˈsændˌwɪtʃ/","- vt. 夹入；挤进；把...做成三明治
- n. 三明治；夹心面包

Sandwich三维治(英国五港之一)

时 态:  
sandwiched, sandwiching, sandwiches",
1033,"sandstone","英:/'sæn(d)stəʊn/ 美:/'sænd'ston/","n. 砂岩",
1034,"sanction","英:/ˈsæŋkʃn/ 美:/ˈsæŋkʃn/","- n. 制裁，处罚；认可；支持
- vt. 制裁，处罚；批准；鼓励


时 态:  
sanctioned, sanctioning, sanctions",
1035,"sample","英:/ˈsɑːmpl/ 美:/ˈsæmpl/","- vt. 取样；抽样检查；尝试
- n. 样品；样本；例子
- adj. 作为例子的；试样的，样品的


时 态:  
sampled, sampling, samples",
1036,"sally","英:/'sælɪ/ 美:/'sæli/","- n. 出击；突围；（感情等）迸发；俏皮话；远足
- vi. 突围；出发

Sallyn. 萨利（女子名）

时 态:  
sallied, sallying, sallies",
1037,"salesperson","英:/ˈseɪlzpɜːsn/ 美:/ˈseɪlzpɜːrsn/","n. 售货员",
1038,"sale","英:/seɪl/ 美:/seɪl/","- n. 卖, 出售, 销售
- 销售额, 销售量
- 贱卖
- 销路, 市场需求
SALEabbr. Simple Algebraic Language for Engineers 工程师用简明代数语言",
1039,"salary","英:/ˈsæləri/ 美:/ˈsæləri/","n. 薪水

形容词:  
salaried",
1040,"salad","英:/'sæləd/ 美:/'sæləd/","n. 色拉；尤指莴苣

Saladn. 社会自由民主党成员",
1041,"said","英:/sed/ 美:/sɛd/","- say的过去式和过去分词
- adj. 上述的
- 无须多讲；不必多言
- 少说为妙
- (做)某事有/没有很多优点(或好处)：某事物有/没有多少可说的
- 说到底；毕竟；全面衡量
- 一点没错；千真万确",
1042,"sage","英:/seɪdʒ/ 美:/seɪdʒ/","- n. 圣人, 智者
- adj. 贤明的, 貌似聪明的
Sage塞奇(姓氏)

比较级:  
sager, sagest 

副 词:  
sagely

名 词:  
sageness",
1043,"safety","英:/ˈseɪfti/ 美:/ˈseɪfti/","n. 安全；保险；安全设备；保险装置；安打",
1044,"safely","英:/ˈseɪflɪ/ 美:/'sefli/","adv. 安全地",
1045,"safe","英:/seɪf/ 美:/seɪf/","- adj. 安全的；可靠的；平安的
- n. 保险箱；冷藏室；纱橱


比较级:  
safer, safest 

副 词:  
safely

名 词:  
safeness",
1046,"rush","英:/rʌʃ/ 美:/rʌʃ/","- n. 匆促；急流；冲进；灯心草
- adj. 急需的
- vt. 突袭；匆忙地做；飞跃；使冲
- vi. 冲；闯；奔；涌现；赶紧


时 态:  
rushed, rushing, rushes 

名 词:  
rusher",
1047,"rural","英:/ˈrʊərəl/ 美:/ˈrʊrəl/","adj. 农村的

副 词:  
rurally",
1048,"runny","英:/'rʌnɪ/ 美:/'rʌni/","adj. 流鼻涕的；水分过多的


比较级:  
runnier, runniest",
1049,"running","英:/ˈrʌnɪŋ/ 美:/ˈrʌnɪŋ/","- n. 跑步
- adj. 流动的
- 赶紧做某人喜欢的事；欣然顺从某人的要求
- 有/没有成功的机会；能/不能获得(某物)
- 领先；积极带头
- 持续的争论；持久战
- 滚开；走开
- 运行良好地",
1050,"run","英:/rʌn/ 美:/rʌn/","- vt. & vi. 跑
- 管理，经营；运行
- 移动
- (使)流动
- n. 跑，奔跑
- 旅行，旅程
- 行驶路线
- 时期；一段时间

时 态:  
ran 
run，running，runs",
1051,"rule","英:/ruːl/ 美:/ruːl/","- vi. 统治；裁定；管辖
- n. 规则；统治
- vt. 统治；支配；规定；裁决；管理


时 态:  
ruled, ruling, rules 

形容词:  
rulable",
1052,"rudder","英:/ˈrʌdə(r)/ 美:/ˈrʌdər/","n. 舵",
1053,"rubber","英:/ˈrʌbə(r)/ 美:/ˈrʌbər/","- n. 橡胶；橡皮；合成橡胶；按摩师
- adj. 橡胶制成的
- vt. 涂橡胶于；用橡胶制造
- vi. 扭转脖子看；好奇地引颈而望",
1054,"royal","英:/ˈrɔɪəl/ 美:/ˈrɔɪəl/","- adj. 国王的，女王的
- 大规模的；极大的

副 词:  
royally",
1055,"row","英:/rəʊ/ 美:/ro/","- n. 行，排；吵闹；划船；街道
- vt. 划船；使……成排
- vi. 划船；争吵

ROW管道通过权

时 态:  
rowed, rowing, rows 

名 词:  
rower",
1056,"routine","英:/ruːˈtiːn/ 美:/ruːˈtiːn/","- n. 例行公事；日常工作；程序
- adj. 日常的；例行的


副 词:  
routinely

名 词:  
routinism

名 词:  
routinist",
1057,"route","英:/ruːt/ 美:/ruːt/","n. 路, 路途, 路线, 路程

时 态:  
routed, routing, routes",
1058,"rout","英:/raʊt/ 美:/raʊt/","- vt. 击溃
- vi. 搜寻
- n. 溃败；暴动


时 态:  
routed, routing, routs",
1059,"round-trip","英:/'raund'trip/ 美:/ˈraʊndˈtrɪp/","adj. 来回旅程的",
1060,"rounded","英:/'raʊndɪd/ 美:/'raʊndɪd/","adj. 圆形的；丰满的；全面的",
1061,"round","英:/raʊnd/ 美:/raʊnd/","- adj. 圆形的，球形的
- 滚圆的，丰满的
- 用整数表示的，取整数的，整整的
- adv. 绕圈子；围绕地
- 在周围；在附近
- 到各处
- 去某地点
- 到处，各处，逐一地，挨个地
- 朝反方向
- 大约，大概
- prep. (表示位置)在…四周，围绕于…；向[在]…各处，遍及；在…附近
- (表示时间)从…的开始到结束；在…整个期间
- (表示方向)环绕，围绕；往[在]…的另一边，绕过
- (表示状态)团结在…周围，跟随着
- (表示论及)关于…的解决办法[途径]
- n. 圆(片)形食物；圆；圆形物
- 一回合，一局，一场
- 一连串，一系列，一套，一组；一阵
- 巡视(路线)；巡回(路线)
- vt. & vi. (使)成圆形
- 绕行

时 态:  
rounded，rounding，rounds 

名 词:  
roundness",
1062,"roughly","英:/ˈrʌfli/ 美:/ˈrʌfli/","adv. 粗糙地；概略地",
1063,"rope","英:/rəʊp/ 美:/roʊp/","- n. 绳，绳索
- vt. 捆，绑
- vi. 拧成绳状


时 态:  
roped, roping, ropes 

名 词:  
roper",
1064,"room","英:/ruːm/ 美:/rum/","- n. 房间；室
- 空间，地方

时 态:  
roomed，rooming，rooms",
1065,"roofing","英:/'ruːfɪŋ/ 美:/'rʊfɪŋ/","- n. 屋顶；盖屋顶；屋顶盖法
- adj. 屋顶用的
- v. 给…盖上顶；遮蔽（roof的ing形式）",
1066,"roof","英:/ruːf/ 美:/ruːf/","- n. 屋顶；最高处，顶部；最高限度
- vt. 给…盖屋顶，覆盖


时 态:  
roofed, roofing, roofs",
1067,"romance","英:/rəʊˈmæns/ 美:/ˈroʊmæns/","- n. 浪漫史；冒险故事；传奇；风流韵事
- vi. 虚构；写传奇；渲染

Romance罗曼语,拉丁系语言

时 态:  
romanced, romancing, romances  

名 词:  
romancer",
1068,"rolling coaster","","",
1069,"rolling","英:/'rəʊlɪŋ/ 美:/'rolɪŋ/","- adj. 滚动的
- (土地)延绵起伏的
- 摇摇晃晃的
- 极其有钱的
- 捧腹大笑；笑得前仰后合
- 非常富有；财源滚滚
- 生活多变迁的人； 滚石不生苔， 转业不聚财( 形容人不停换工作和住处， 就不会有很多钱财或朋友，但可以无牵无挂)",
1070,"roll","英:/rəʊl/ 美:/roʊl/","- vt. & vi. (使)打滚，(使)转动，滚动
- 卷，把…卷成筒状
- vt. 碾平
- vi. 左右摇晃，摇摆
- 发出隆隆声
- 开始工作
- n. 一卷
- 面包卷，圆面包
- 名册
- 打滚；滚动
- 轰隆声

时 态:  
rolled，rolling，rolls",
1071,"role","英:/rəul/ 美:/rol/","- n. 作用, 职责
- 角色",
1072,"roger","英:/'rɒdʒə/ 美:/'rɑdʒɚ/","- int. 好；知道了
- n. 罗杰（男子名）

rogerint. (无线电通讯答语)已收到
ROGERabbr. Remotely Operated Geophysical Explorer 遥控地球物理探测仪",
1073,"robust","英:/rəʊˈbʌst/ 美:/roʊˈbʌst/","adj. 强健的；健康的；粗野的；粗鲁的


副 词:  
robustly

名 词:  
robustness",
1074,"robin","英:/ˈrɔbin/ 美:/ˈrɑbɪn/","n. 知更鸟

Robinn. 罗宾（男子名）",
1075,"rob","英:/rɒb/ 美:/rɑːb/","- vt. 抢劫；使…丧失；非法剥夺
- vi. 抢劫；掠夺

ROBabbr. Radius of Bend 弯管半径
Rob罗布(男子名, Robert的昵称)

时 态:  
robbed, robbing, robs 

名 词:  
robber",
1076,"roast","英:/rəʊst/ 美:/roʊst/","- vt. & vi. 烤；烘；焙
- vt. 嘲讽
- n. 烤肉
- adj. 烤好的，烤制的

时 态:  
roasted，roasting，roasts",
1077,"roadster","英:/'rəʊdstə/ 美:/'rodstɚ/","n. 跑车,流浪者",
1078,"road","英:/rəʊd/ 美:/rod/","- n. 路, 道路, 公路
- 通路
- vt. 在…设置路障",
1079,"rival","英:/ˈraɪvl/ 美:/ˈraɪvl/","- n. 竞争对手
- vt. 与…竞争, 与…匹敌

时 态:  
rivaled, rivalled 
rivaling, rivalling 
rivals, rivals",
1080,"risk","英:/rɪsk/ 美:/rɪsk/","- n. 危险(性)，风险
- 引起危险的事物
- vt. 冒险；冒…险

时 态:  
risked，risking，risks 

名 词:  
risker",
1081,"risen","/'rizən/","adj. 升起的",
1082,"rise","英:/raɪz/ 美:/raɪz/","- vi. 升高，上升；上涨，增高
- 站起来；起床
- 起义；反抗
- n. 上升，升起
- 增加，增长
- 兴起；发展
- 斜坡，高岗
RISEabbr. Research in Supersonic Environment 超声环境的研究

时 态:  
rose 
risen 
rising，rises",
1083,"rinse","英:/rɪns/ 美:/rɪns/","- vt. 漂洗, 冲洗
- 用清水漂洗掉(肥皂泡等)
- n. 漂洗, 冲洗
- 染发剂

时 态:  
rinsed, rinsing, rinses 

名 词:  
rinser",
1084,"ring","英:/rɪŋ/ 美:/rɪŋ/","- vi. 按铃；敲钟；回响；成环形
- n. 铃声，钟声；环形物；拳击场；戒指
- vt. 按铃；敲钟；包围；套住


时 态:  
rang, rung, ringing",
1085,"rime","英:/raɪm/ 美:/raɪm/","- n. 白霜；雾凇；结晶
- vt. 使蒙霜
- vi. 蒙上白霜


时 态:  
rimed, riming, rimes 

形容词:  
rimy",
1086,"riley","英:/'raɪlɪ/ 美:/ˈraɪli/","adj. 生气的",
1087,"rigorous","英:/ˈrɪɡərəs/ 美:/ˈrɪɡərəs/","- adj. 严密的；缜密的
- 严格的，严厉的

副 词:  
rigorously

名 词:  
rigorousness",
1088,"right","英:/raɪt/ 美:/raɪt/","- n. 权利；正确；右边；公正；正义；右派；正当的要求；右手拳；右边的路
- v. 向右；纠正；使恢复正常；把…扶正
- adj. 正确的；右方的；适当的；直接的；（意见或判断）准确，确切，恰当
- adv. 正确地；彻底地；恰当地；在右边；马上；正好；顺利
- int. （表示同意或遵从）是的，好的；（引起注意，表示已作好准备或让别人做某事）嗨，喂；（要确保对方同意或明白时说）对不对


比较级:  
righter, rightest 

时 态:  
rights，righting，righted

名 词:  
rightness",
1089,"rig","英:/rɪɡ/ 美:/rɪɡ/","- n. 船桅(或船帆等)的装置
- 成套器械
- vt. 给(船、桅杆)装配帆及索具
- 用临时替代材料迅速搭起
- (用不正当手段)操纵, 垄断

时 态:  
rigged, rigging, rigs",
1090,"ridiculous","英:/rɪˈdɪkjələs/ 美:/rɪˈdɪkjələs/","adj. 可笑的, 荒谬的

副 词:  
ridiculously

名 词:  
ridiculousness",
1091,"ridge","英:/rɪdʒ/ 美:/rɪdʒ/","- n. 脊, 山脊
- 脊状突起

时 态:  
ridged, ridging, ridges",
1092,"ride","英:/raɪd/ 美:/raɪd/","- vi. 骑马；乘车；漂浮；依靠
- vt. 骑；乘；控制
- n. 乘坐；骑；交通工具；可供骑行的路


时 态:  
rode 
ridden 
riding, rides",
1093,"rid","英:/rɪd/ 美:/rɪd/","vt. 使摆脱, 解除…的负担, 从…中清除
RIDabbr. Radio Intelligence Division (联邦通讯委员会)无线电情报处
RIDabbr. Radio Intelligence Division 〈美〉(联邦通讯委员会)无线电情报处

时 态:  
rid, ridded 
ridding, rids",
1094,"rich","英:/rɪtʃ/ 美:/rɪtʃ/","adj. 富有的；肥沃的；昂贵的


比较级:  
richer, richest 

副 词:  
richly

名 词:  
richness",
1095,"reward","英:/rɪˈwɔːd/ 美:/rɪˈwɔːrd/","- n. 报酬；酬谢；报答
- vt. 奖赏；奖励


时 态:  
rewarded, rewarding, rewards",
1096,"revival","英:/rɪˈvaɪvl/ 美:/rɪˈvaɪvl/","n. 复活；复兴；恢复精神；苏醒；再生效",
1097,"revision","英:/rɪˈvɪʒn/ 美:/rɪˈvɪʒn/","n. 修正；修订本；复习


形容词:  
revisionary",
1098,"revise","英:/rɪˈvaɪz/ 美:/rɪˈvaɪz/","- vt. 修订, 修改
- vt. & vi. 复习

时 态:  
revised, revising, revises 

形容词:  
revisable",
1099,"reviewer","英:/rɪˈvjuːə(r)/ 美:/rɪˈvjuːər/","n. 评论者，评论家",
1100,"review","英:/rɪˈvjuː/ 美:/rɪˈvjuː/","- n. 回顾；检查；检讨；重新考虑
- 评论性刊物，评论
- 检阅
- vt. 回顾
- vt. & vi. 写…的评论文章

时 态:  
reviewed，reviewing，reviews 

形容词:  
reviewable",
1101,"revenue","英:/ˈrevənjuː/ 美:/ˈrevənuː/","n. 收入，收益；财政收入，税收",
1102,"revealed","/rɪ'vil/","v. 透露（reveal的过去式）；显示",
1103,"reveal","英:/rɪˈviːl/ 美:/rɪˈviːl/","- vt. 显示；露出
- 泄露；透露

时 态:  
revealed，revealing，reveals 

形容词:  
revealable

名 词:  
revealer

名 词:  
revealment",
1104,"reuse","英:/ˌri:'ju:z/ 美:/riˈjuz/","- vt. 再用, 重新使用
- n. 再用, 重新使用

时 态:  
reused, reusing, reuses 

形容词:  
reusable

名 词:  
reuse",
1105,"reusable","英:/ri:ˈju:zəbɵl/ 美:/ˌri'juzəbl/","adj. 可以再度使用的，可重复使用的",
1106,"returned","/rɪ'tɝnd/","adj. 归来的；被送回的；回国的",
1107,"return","英:/rɪˈtɜːn/ 美:/rɪˈtɜːrn/","- vi. 返回，回来
- 恢复
- vt. 还，归还，退回
- 回报
- n. 回来，回程，回路
- 偿还，归还
- 回复；回归；复发
- 归还之物
- 利润，收益

时 态:  
returned，returning，returns 

名 词:  
returner",
1108,"retrieval","英:/rɪ'triːvl/ 美:/rɪ'trivl/","n. 重获,取回,检索,挽回,恢复",
1109,"retreat","英:/rɪˈtriːt/ 美:/rɪˈtriːt/","- n. 撤退；休息寓所；撤退
- vi. 撤退；退避；向后倾
- vt. 使后退；退（棋）


时 态:  
retreated, retreating, retreats 

名 词:  
retreater",
1110,"retract","英:/rɪˈtrækt/ 美:/rɪˈtrækt/","- vt. 缩回；缩进；取消
- vi. 缩回；缩进；撤消
- n. 收缩核


时 态:  
retracted, retracting, retracts 

名 词:  
retractation",
1111,"retirement","英:/rɪˈtaɪəmənt/ 美:/rɪˈtaɪərmənt/","- n. 退休；退职；退役
- 退休的实例
- 退休生活；遁世，隐居",
1112,"retired","英:/rɪˈtaɪəd/ 美:/rɪˈtaɪərd/","- adj. 退休的；退役的；幽闭的
- v. 退休（retire的过去分词）


名 词:  
retiredness",
1113,"retire","英:/rɪˈtaɪə(r)/ 美:/rɪˈtaɪər/","- vt. & vi. 退职；退役；(使)退休
- vi. 退下；撤退
- 就寝

时 态:  
retired，retiring，retires",
1114,"retain","英:/rɪˈteɪn/ 美:/rɪˈteɪn/","vt. 保持；雇；记住


时 态:  
retained, retaining, retains 
缩 写:  
ret

形容词:  
retainable",
1115,"retailer","英:/ˈriːteɪlə(r)/ 美:/ˈriːteɪlər/","n. 传播的人；零售商",
1116,"retail","英:/ˈriːteɪl/ 美:/ˈriːteɪl/","- vt. 零售；转述
- vi. 零售
- n. 零售
- adv. 以零售方式
- adj. 零售的


时 态:  
retailed, retailing, retails 

名 词:  
retailer",
1117,"resume","英:/rɪˈzjuːm，ˈrezjuːmeɪ/ 美:/rɪˈzuːm，ˈrezəmeɪ/","- v. 重新开始；（中断后）继续
-  恢复席位 / 地位 / 职位
- n. 摘要；概述；概要（résumé或resumé）
-  【美式】简历，履历（résumé或resumé）

时 态:  
resumed，resuming，resumes 

形容词:  
resumable

名 词:  
resumer",
1118,"result","英:/rɪ'zʌlt/ 美:/rɪ'zʌlt/","- n. 结果；成绩；答案；比赛结果
- vi. 产生；结果；导致


时 态:  
resulted, resulting, results 

形容词:  
resultful

形容词:  
resultless",
1119,"resubmit","","resubmit


(once / 64236 pages)


v



WORD FAMILY
resubmit: resubmits, resubmitted, resubmitting
+

/submission: submissions
/submissive: submissively, submissiveness, unsubmissive
/submit: resubmit, submission, submissive, submits, submitted, submitter, submitting
/submitter: submitters



USAGE EXAMPLES


But the Israeli leader was ultimately outmaneuvered at the United Nations, where New Zealand, Venezuela, Senegal and Malaysia, resubmitted the proposal a day later.

Reuters(Dec 26, 2016)

It was resubmitted a day later by New Zealand, Senegal, Venezuela and Malaysia.

Reuters(Dec 25, 2016)

According to police, current investigators re-examined the case, and it was resubmitted for prosecution.

Washington Times(Dec 23, 2016)



v 
submit (information) again to a program or automatic system

Syn
|
Hyper


feed back

render, return
give back",
1120,"restructure","英:/riː'strʌktʃə/ 美:/ri'strʌktʃɚ/","vt. 重建, 改建, 重组

时 态:  
restructured, restructuring, restructures",
1121,"restriction","英:/rɪˈstrɪkʃn/ 美:/rɪˈstrɪkʃn/","- n. 约束，限制
- 管制，限定；法律，规章",
1122,"restricted","英:/rɪ'strɪktɪd/ 美:/rɪ'strɪktɪd/","- adj. 有一定限制的,有限的,受约束的
- (指土地)对公众不完全开放的
- (指土地)对军人不完全开放的
- adv. 有限地,受约束地
- 对公众不完全开放地
- 对军人不完全开放地
- n. 有限,约束

副 词:  
restrictedly",
1123,"restrict","英:/rɪˈstrɪkt/ 美:/rɪˈstrɪkt/","vt. 限制；限定；约束


时 态:  
restricted, restricting, restricts",
1124,"restoration","英:/ˌrestəˈreɪʃn/ 美:/ˌrestəˈreɪʃn/","- n. (遗失等物的)归还原主
- 回到原处或原状，恢复
- 重新采用
- (损坏的建筑物、艺术品等的)修复，整修
- (毁坏后重建的)建筑物；重建",
1125,"restaurant","英:/ˈrest(ə)rɒnt/ 美:/'rɛstrɑnt/","n. 饭店, 餐馆",
1126,"restart","英:/ˌri:'stɑ:t/ 美:/riˈstɑrt/","- vi. 重新启动；重新开始
- vt. 重新启动；重新开始
- n. 返聘；重新开始


时 态:  
restarted, restarting, restarts 

名 词:  
restart

形容词:  
restartable",
1127,"rest","英:/rest/ 美:/rɛst/","- n.休息，睡眠；静止；支持物；剩余部分，余下的人或物
- vt. & vi.（使）休息；（使）倚靠，支撑；停止，不再谈论
RESTabbr. Radar Electronic Scan Technique 雷达电子扫描技术

时 态:  
rested, resting, rests",
1128,"responsively","","",
1129,"responsive","英:/rɪˈspɒnsɪv/ 美:/rɪˈspɑːnsɪv/","- adj. 反应热烈或良好的；赞同的；支持的
- 反应灵敏的；易受控制的
- 回答的，答应的

名 词:  
responsiveness",
1130,"responsible","英:/rɪˈspɒnsəbl/ 美:/rɪˈspɑːnsəbl/","- adj. 负有责任的, 需承担责任的
- 需对…负责的
- 尽责的, 可靠的
- 责任重大的

副 词:  
responsibly",
1131,"responsibility","英:/rɪˌspɒnsəˈbɪləti/ 美:/rɪˌspɑːnsəˈbɪləti/","- n. 责任
- 责任感, 可信赖性
- 职责, 所负责任的事",
1132,"response","英:/rɪˈspɒns/ 美:/rɪˈspɑːns/","n. 响应；反应；回答",
1133,"respondent","英:/rɪˈspɒndənt/ 美:/rɪˈspɑːndənt/","n. 被告；回答问题的人；（尤指）调查对象
adj. 回答的；响应的；【法】被告的；〈古〉符合的",
1134,"respond","英:/rɪˈspɒnd/ 美:/rɪˈspɑːnd/","- vi. 回答；作出反应；承担责任
- vt. 以…回答
- n. 唱和；应答


时 态:  
responded, responding, responds 

名 词:  
responder",
1135,"respectively","英:/rɪˈspektɪvli/ 美:/rɪˈspektɪvli/","adv. 各自地, 各个地, 分别地",
1136,"respect","英:/rɪˈspekt/ 美:/rɪˈspekt/","- vt. 尊重, 敬佩
- n. 尊敬, 尊重
- 考虑, 关心, 顾虑
- 细节, 方面
- 敬意, 问候

时 态:  
respected, respecting, respects 

名 词:  
respecter",
1137,"resourceful","英:/rɪˈsɔːsfl/ 美:/rɪˈsɔːrsfl/","adj. 资源丰富的;富于机智的;有策略的

副 词:  
resourcefully

名 词:  
resourcefulness",
1138,"resource","英:/rɪˈsɔːs/ 美:/ˈriːsɔːrs/","n. 资源，财力；办法；智谋",
1139,"resort to","","诉诸, 求助于，凭借",
1140,"resort","英:/rɪˈzɔːt/ 美:/rɪˈzɔːrt/","- n. 凭借，手段；常去之地；度假胜地
- vi. 求助，诉诸；采取某手段或方法；常去


时 态:  
resorted, resorting, resorts",
1141,"resolved","英:/rɪ'zɒlvd/ 美:/rɪ'zɑlvd/","- adj. 断然的；下定决心的；已解决的
- v. 决定；解决；分解；转变（resolve的过去分词）",
1142,"resistant","英:/rɪˈzɪstənt/ 美:/rɪˈzɪstənt/","adj. 有抵抗力的, 抵抗的",
1143,"resistance","英:/rɪˈzɪstəns/ 美:/rɪˈzɪstəns/","- n. 抵抗, 反抗, 抵抗能力
- 阻力
- 电阻, 热阻

形容词:  
resistant",
1144,"resigned","英:/rɪˈzaɪnd/ 美:/rɪˈzaɪnd/","- adj. 顺从的；已辞职的；已放弃的
- v. 辞职；顺从（resign的过去分词）


副 词:  
resignedly",
1145,"resignation","英:/ˌrezɪɡˈneɪʃn/ 美:/ˌrezɪɡˈneɪʃn/","- n. 辞职
- 辞职书
- 顺从, 听从",
1146,"resign","英:/rɪˈzaɪn/ 美:/rɪˈzaɪn/","- vt. 辞职；放弃；使听从；委托
- vi. 辞职
- n. 辞去职务


时 态:  
resigned, resigning, resigns",
1147,"resident","英:/ˈrezɪdənt/ 美:/ˈrezɪdənt/","- adj. 定居的; 常驻的
- n. 居民
- (旅馆的)住宿者",
1148,"residence","英:/ˈrezɪdəns/ 美:/ˈrezɪdəns/","- n. 住处; 住宅; 公馆
- 居住; 居留期间",
1149,"reserved","英:/rɪˈzɜːvd/ 美:/rɪˈzɜːrvd/","- adj. 保留的，预订的；缄默的，冷淡的；包租的
- v. 保留（reserve的过去分词）


副 词:  
reservedly",
1150,"reserve","英:/rɪˈzɜːv/ 美:/rɪˈzɜːrv/","- vt. 保留[储备]某物
- 具有或保持(某种权利)
- 预订或保留(座位、住处等)；订购
- n. 贮藏；储备
- 保护区
- 矜持，拘谨；寡言

时 态:  
reserved，reserving，reserves",
1151,"reservation","英:/ˌrezəˈveɪʃn/ 美:/ˌrezərˈveɪʃn/","- n. 保留的座位[住处]等; 预订
- 保留意见; 保留态度
- (美洲印第安部落的)居留地",
1152,"resent","英:/rɪˈzent/ 美:/rɪˈzent/","vt. 对…感到愤怒

时 态:  
resented, resenting, resents",
1153,"resemble","英:/rɪˈzembl/ 美:/rɪˈzembl/","vt. 像…, 类似于

时 态:  
resembled, resembling, resembles",
1154,"research","英:/rɪˈsɜːtʃ/ 美:/rɪˈsɜːrtʃ/","- n. 研究；探讨
- vi. 做研究，探究，研究，探讨
- vt. 从事…的研究，为…而做研究

时 态:  
researched，researching，researches",
1155,"reschedule","英:/ri:'ʃedju:l/ 美:/riˈskɛdʒul/","vt. 重订时间表

时 态:  
rescheduled, rescheduling, reschedules",
1156,"requirement","英:/rɪˈkwaɪəmənt/ 美:/rɪˈkwaɪərmənt/","- n. 要求, 必要条件
- 需要, 需要的东西",
1157,"require","英:/rɪ'kwaɪə/ 美:/rɪ'kwaɪr/","vt. 要求；需要；命令


时 态:  
required, requiring, requires 
缩 写:  
req",
1158,"request","英:/rɪˈkwest/ 美:/rɪˈkwest/","- n. 请求；需要
- vt. 要求，请求


时 态:  
requested, requesting, requests 

名 词:  
requester",
1159,"reputation","英:/ˌrepjuˈteɪʃn/ 美:/ˌrepjuˈteɪʃn/","n. 名气, 名声, 名誉",
1160,"representative","英:/ˌreprɪˈzentətɪv/ 美:/ˌreprɪˈzentətɪv/","- n. 代表
- 代理人
- adj. 有代表性的, 典型的

名 词:  
representativeness",
1161,"represent","英:/ˌreprɪˈzent/ 美:/ˌreprɪˈzent/","- vt. 表现, 描绘
- 代表, 象征, 表示
- 作为…的代表

时 态:  
represented, representing, represents 

名 词:  
representability

形容词:  
representable",
1162,"repossession","/'ripə'zɛʃən/","n. 取回,恢复",
1163,"reposition","英:/ˌriːpə'zɪʃ(ə)n/ 美:/ˌripə'zɪʃən/","n. 重新配置

时 态:  
repositioned, repositioning, repositions",
1164,"reporter","英:/rɪˈpɔːtə(r)/ 美:/rɪˈpɔːrtər/","n. 记者

形容词:  
reportorial",
1165,"report","英:/rɪ'pɔːt/ 美:/rɪ'pɔrt/","- n. 报告，报道
- 成绩报告单，工作鉴定书
- 传闻；流言蜚语
- vt. & vi. 报告；报道
- 公布；宣告；当记者
- 报到
- vt. 告发，举报

时 态:  
reported，reporting，reports 

形容词:  
reportable",
1166,"reply","英:/rɪ'plaɪ/ 美:/rɪ'plai/","- vi. 回答；回击；答辩
- n. 回答；答辩
- vt. 回答；答复


时 态:  
replied, replying, replies 

名 词:  
replier",
1167,"replacement","英:/rɪˈpleɪsmənt/ 美:/rɪˈpleɪsmənt/","- n. 代替, 替换, 更换
- 替换的人[物]",
1168,"replace","英:/rɪˈpleɪs/ 美:/rɪˈpleɪs/","vt. 取代，代替；替换，更换；归还，偿还；把…放回原处


时 态:  
replaced, replacing, replaces 
缩 写:  
repl

形容词:  
replaceable

名 词:  
replacer",
1169,"repayment","英:/rɪˈpeɪmənt/ 美:/rɪˈpeɪmənt/","n. 偿还;报答;偿付的钱物",
